source,target
21714,448862
21714,9225
21714,45331
21714,668208
21714,9371
21714,46556
21714,10577
21714,11384
21714,10672
21714,10740
21714,696167
21714,111604
21714,22192
21714,28316
21714,335852
21714,30905
21714,9410
21714,9241
21714,9313
21714,26097
21714,1589004
21714,1583374
21714,44364
21714,679951
21714,156658
21714,21192
21714,161744
21714,293641
21714,99735
21714,8977
21714,65996
21714,15478
21714,13340
21714,17831
21714,18568
21714,269349
21714,14554
21714,4238502
21714,13452
21714,9223
21714,18416
21714,1020712
21714,709337
21714,3730148
21714,2772158
21714,164491
21714,2127508
21714,22086
21714,61836
21714,78290
21714,236911
21714,62744
21714,9335
21714,18328
21714,565911
21714,10759
21714,68431
21714,18452
21714,160469
21714,55527
21714,16281
21714,92535
21714,46448
21714,18415
21714,20772
21714,16420
21714,5448684
21714,19677
21714,11368
21714,53575
21714,4994634
21714,191906
21714,4998370
21714,24073
21714,354136
21714,4946172
21714,9262
153505,1145567
153505,78290
153505,14515
153505,9410
153505,93719
153505,1176208
153505,4731386
153505,4805614
153505,9241
153505,153505
153505,709825
153505,652204
153505,19684
153505,15409
153505,42124
153505,1258459
153505,139697
153505,285507
153505,2039866
153505,22535
153505,1602955
153505,161447
153505,1574198
153505,1418564
153505,9260
153505,15255
153505,966126
153505,15389
153505,1328720
153505,574327
153505,14900
153505,1242109
153505,10056
153505,340651
153505,9246
153505,799549
153505,1039029
153505,1161228
153505,13730
153505,1145189
153505,18082
153505,10259
153505,22431
153505,25071
153505,719128
153505,1081482
153505,28193
153505,446797
153505,18415
153505,24491
153505,66515
153505,988101
153505,154791
153505,20345
23261,16907
23261,34484
23261,906408
23261,9410
23261,17417
23261,164424
23261,114822
23261,34620
23261,19542
23261,22833
23261,1103647
23261,12313
23261,259789
23261,12855
23261,22370
23261,13240
23261,17165
23261,2061845
23261,1147519
23261,14470
23261,12821
23261,12551
23261,23372
23261,215957
23261,89775
23261,228183
23261,201965
23261,245379
23261,268299
23261,23261
23261,132282
23261,187721
23261,22168
23261,3225874
23261,395096
23261,13073
23261,50065
23261,73864
23261,89732
23261,287965
23261,19267
23261,172247
23261,461186
23261,330045
23261,110448
23261,1426785
23261,37571
23261,137907
23261,320037
23261,51795
23261,317311
23261,507583
23261,203666
23261,15445
23261,46730
23261,22909
23261,11835
16907,12973
16907,24785
16907,3010334
16907,28125
16907,823247
16907,17710
16907,583892
16907,21875
12973,341255
12973,12313
12973,11844
12973,11736
12973,11875
12973,95319
12973,17710
341255,260957
260957,1933724
1933724,105068
1933724,154174
1933724,680075
105068,34817
105068,851661
105068,972311
34817,27836
34817,200881
34817,144879
27836,15079
27836,58496
27836,67247
27836,88478
27836,374380
15079,15079
15079,22806
15079,422508
15079,39670
15079,99492
15079,13116
15079,106840
15079,1426785
15079,88485
15079,36247
15079,128481
15079,35513
22806,1365909
22806,46398
22806,26524
22806,28125
22806,205365
1365909,11844
11844,11742
11844,11848
11844,327028
11844,48524
11844,114822
11844,54888
11844,285517
11844,11875
11844,262047
11844,929134
11844,12633
11844,13022
11844,1498028
11742,19822
19822,15169
15169,11794
11794,1567837
11794,299199
11794,310194
11794,21875
11794,652444
1567837,35513
35513,87914
35513,141785
35513,357820
35513,27278
87914,16397
87914,271849
87914,232081
16397,17710
17710,60450
17710,898205
17710,12821
17710,19725
60450,12313
60450,52393
60450,52245
60450,157926
60450,148006
60450,873393
60450,71798
60450,325992
60450,933174
60450,299102
60450,20182
60450,48029
60450,33366
60450,28125
12313,34484
12313,227072
12313,26196
12313,746631
12313,11875
12313,34251
12313,292359
34484,54582
34484,11832
34484,564640
34484,214670
49215,16431
18417,1151119
18417,1576090
18417,9223
18417,1067829
18417,9508
18417,9263
18417,9410
18417,33362
18417,160579
18417,480992
18417,9073
18417,9510
18417,20843
18417,683318
18417,1553567
18417,12344
18417,586715
18417,155828
18417,18758
18417,18417
18417,43073
18417,897218
18417,79093
18417,37156
18417,81881
18417,964720
18417,346303
18417,232554
18417,9241
18417,55527
18417,27315
18417,9676
18417,498041
18417,75734
18417,41716
18417,220372
18417,35778
18417,68771
18417,427696
18417,32563
18417,5446526
18417,1104670
18417,49246
18417,29915
18417,9256
18417,18171
18417,77835
1151119,4256132
4256132,11498
4256132,9410
4256132,249841
4256132,111604
4256132,2177911
4256132,491693
4256132,9411
4256132,99735
4256132,43638
4256132,4256132
4256132,981468
211286,539065
211286,18415
211286,9222
211286,1297181
211286,174353
211286,9244
539065,15590
15590,21093
15590,104480
15590,111076
15590,80755
15590,31408
15590,32563
15590,53485
121955,25151
121955,27309
121955,37156
25151,1145567
25151,11934
25151,9225
25151,15326
25151,34087
25151,14948
25151,24783
25151,32563
25151,247172
25151,31408
25151,18268
25151,9411
25151,700621
25151,29915
25151,111076
25151,13725
25151,19267
46946,15326
46946,1038401
46946,9225
46946,492127
46946,236755
46946,68771
46946,19267
46946,9223
46946,140363
46946,506789
46946,54049
46946,22831
46946,14189
46946,12344
46946,420205
46946,10305
24276,3842712
24276,480992
24276,9463
24276,10857
24276,275645
24276,241979
17602,17236
17602,45723
17602,131960
17602,383321
17602,13835
17602,8994
17602,570702
17236,8964
17236,19890
17236,151112
17236,206945
17236,244116
17236,109758
17236,20112
17236,677365
8964,8938
8964,299436
8964,23349
8964,704942
8964,210744
8938,19224
8938,833946
8938,1913663
8938,49283
8938,9189
19224,157923
19224,415541
19224,468694
19224,3545161
19224,3191675
19224,23465
19224,1319004
157923,18329
18329,17526
17526,232292
232292,64830
9263,1576090
9263,2587606
9263,9241
9263,51844
9263,73407
9263,595303
9263,1016138
9263,1603322
9263,17831
9263,262089
9263,9266
9263,9263
9263,1131200
9263,692344
9263,87899
9263,683318
9263,18758
9263,10305
9263,14948
9263,9262
9263,54116
9263,32563
9263,24783
9263,55614
9263,24208
9223,9313
9223,492127
9223,672328
9223,709919
9223,9462
9223,10617
9223,9238
9223,10759
9223,9241
9223,13991
9223,51856
9223,13576
9223,69370
9223,12764
9223,9060
9223,23372
9223,9225
9223,20922
9223,18268
9223,22086
9223,1020712
9223,15478
9223,99686
9223,11921
9223,46556
9223,18568
9223,12344
9223,9250
9223,14515
9223,672368
9223,9220
9223,420205
9223,28283
9223,9340
9313,1067829
9313,10923
9313,9465
9313,1545684
9313,9251
9313,1504429
9313,1427233
9313,316732
9313,2262800
9313,131805
9313,13031
9313,229700
9313,213114
9313,104021
9313,9254
9313,13087
9313,749750
9313,99753
9313,9246
9313,54637
9313,42124
9313,9370
9313,715330
9313,17833
9313,719226
9313,717104
9313,9256
9313,9222
9313,98872
9313,11457
9313,9340
9313,11888
9313,50685
9313,567696
9313,41994
9313,21211
1067829,14554
1067829,874485
480992,9508
480992,9225
480992,15326
480992,18328
480992,49904
480992,155957
9508,87899
2587606,2587024
2587024,11934
9225,49904
9225,9241
9225,1563693
9225,16495
9225,145040
9225,9246
9225,718389
9225,10190
9225,57955
9225,692344
9225,183534
9225,274031
9225,89732
9225,704210
9225,16238
9225,492127
9225,1581250
9225,564792
9225,583165
9225,293641
9225,99483
9225,11352
9225,70822
9225,99095
9225,10669
9225,45331
9225,15478
9225,1020712
9225,14554
9225,1464402
9225,17831
9225,164491
9225,140363
9225,99753
9225,35000
9225,41716
9225,67139
9225,163896
9225,85830
9225,10577
9225,50573
9225,565911
9225,9371
9225,36320
9225,51856
9225,9267
9225,11438
9225,1155987
9225,26106
9225,43744
9225,9337
9225,624141
9225,75406
9241,9410
9241,10577
9241,43638
9241,4888138
9241,9418
9241,9510
9241,34491
9241,2045466
9241,1161182
9241,1504429
9241,15606
9241,33980
9241,28316
9241,22816
9241,88356
9241,269349
9241,18328
9241,1772415
9241,1589004
9241,243402
9241,41716
9241,13087
9241,10669
9241,20843
9241,220372
9241,15245
9241,24986
9241,530383
9241,42124
9241,13340
9241,23534
9241,18268
9241,45331
9241,1020712
9241,17600
9241,22086
9241,415137
9241,553206
9241,9220
9241,99686
9241,17673
9241,11438
9241,14554
9241,132945
9241,140363
9241,17831
9241,49904
9241,29293
9241,258450
9241,696167
9241,1847698
9241,14737
9241,866466
9241,32813
9241,866446
9241,30998
9241,126637
9241,43075
9241,472251
9241,232554
9241,440316
9241,147717
9241,1498407
9241,90659
9241,46556
9241,1371067
9241,1214913
9241,35682
9241,740305
9241,21100
9241,77257
9241,72721
9241,874485
9241,10392
9241,9066
9241,43933
9241,9241
9241,40818
9241,30758
9241,214111
9241,27256
9241,12824
9241,22670
9241,1208176
9241,231331
9241,11368
9241,24783
9241,610775
9410,19542
9410,23256
9410,69230
9410,22071
9410,29119
9410,9410
9410,34041
9410,1502186
9410,9227
9410,18205
9410,12549
9410,9430
9410,62626
9410,902526
9410,14470
9410,20918
9410,15245
9410,89775
9410,480648
9410,9246
9410,658322
9410,36717
9410,1267647
9410,4805614
9410,180328
9410,139697
9410,18206
9410,14044
9410,1050099
9410,161447
9410,24491
9410,26106
9410,25567
9410,14015
9410,24073
9410,22831
9410,111604
9410,619811
9410,890806
9410,14071
9410,275797
9410,1372671
9410,23524
9410,23541
9410,34491
9410,1430227
9410,1016138
9410,23523
9410,271871
9410,23275
9410,20456
9410,15638
9410,576585
9410,259919
9410,19783
9410,18686
9410,24767
9410,17600
9410,9247
9410,34087
9410,12802
9410,24986
9410,10259
9410,10190
9410,14128
9410,126199
9410,88356
9410,1709480
9410,13087
9410,183534
9410,205639
9410,677877
9410,29293
9410,1025639
9410,28193
9410,23372
9410,221842
9410,17417
9410,59817
9410,33472
9410,715330
9410,15750
9410,137907
9410,9220
9410,217438
9410,17208
9410,9453
9410,9789
9410,35000
9410,14608
9410,203605
9410,67139
9410,1017558
9410,427696
9410,157773
9410,24756
9410,11580
9410,18659
9410,37156
9410,19578
9410,9326
9410,433972
9410,18328
9410,18565
9410,39473
9410,604399
9410,9379
9410,160469
9410,1469982
9410,14045
9410,11381
9410,17307
9410,790852
9410,15389
9410,23291
9410,598394
9410,14554
9410,20772
9410,1007303
9410,855944
9410,9906
9410,54049
9410,15010
9410,111269
9410,725307
9410,579637
9410,214111
9410,162344
9410,11438
9410,20568
9410,13069
9410,425312
9410,22682
9410,4304891
9410,827650
9410,1297181
9410,25484
9410,578046
9410,758476
9410,24783
19542,13338
19542,29119
19542,49904
19542,14608
19542,10259
19542,28457
19542,125844
19542,25172
19542,17417
19542,11072
19542,502125
19542,61782
19542,10677
19542,1531151
19542,25631
19542,83792
19542,729761
19542,1519787
19542,395096
19542,195428
19542,270037
19542,1327986
19542,306114
19542,203824
19542,166319
19542,9175
19542,10190
19542,3782344
19542,9153
19542,1237400
19542,3739539
19542,150714
19542,353642
19542,24850
19542,186639
19542,244599
19542,59997
19542,38058
19542,123268
19542,111559
19542,19112
19542,15750
19542,23256
19542,19542
19542,188304
19542,23524
19542,21261
19542,217438
19542,9073
19542,23993
19542,9758
19542,52260
19542,23373
19542,24158
19542,106905
19542,28532
19542,23753
19542,115954
19542,129905
19542,170103
19542,170250
19542,78129
19542,105515
19542,41506
19542,120829
19542,215410
19542,133063
19542,10003
19542,24879
19542,79093
19542,43550
19542,51736
19542,19109
19542,100311
19542,949419
19542,921870
19542,22312
19542,749094
19542,79025
19542,161123
19542,166663
19542,13412
19542,49331
19542,33180
19542,8994
19542,34969
19542,34091
19542,187719
19542,38666
19542,397046
19542,15326
19542,105085
19542,9724
19542,34620
19542,643675
19542,41621
19542,73955
19542,1498028
19542,47330
19542,64567
19542,22833
19542,56891
19542,14470
19542,30778
19542,1370168
19542,944664
19542,86551
19542,11832
19542,132138
19542,323214
19542,137907
19542,765779
19542,187735
19542,67272
19542,115556
19542,111567
19542,55011
19542,64921
19542,197515
19542,24385
19542,21557
19542,22701
19542,26064
19542,23372
19542,68729
19542,58469
19542,14515
19542,3089137
19542,12282
19542,1513186
19542,14128
19542,151435
13338,9153
9153,202692
9153,9152
9153,14608
9153,24879
9153,166663
9153,73661
9153,17381
9153,19578
9153,17392
9153,26221
9153,17442
9153,9153
9153,19109
9153,32757
9153,564445
9153,45629
9153,39133
202692,22765
22765,14515
14515,14608
14515,25399
14515,3176871
14515,1762579
14515,64128
14515,941176
14515,78129
14515,33472
14515,30782
14515,25099
14515,29226
14515,14515
14515,1339243
14515,64464
14515,24183
14515,126241
14515,23813
14515,138706
14515,129693
14515,23753
14515,38647
14515,52720
14515,123999
14515,80525
14515,27981
14515,26064
14515,9073
14608,15478
14608,10594
14608,210176
14608,1221889
14608,64042
14608,640452
14608,57155
14608,1020326
14608,63205
14608,33191
14608,378605
14608,832409
14608,68766
14608,28532
14608,1364814
14608,162029
14608,167076
14608,398479
14608,11450
14608,19763
14608,584194
14608,41710
14608,14608
14608,106905
14608,60936
14608,1097277
14608,101686
14608,219113
14608,1007870
14608,30302
14608,38768
14608,28978
14608,26820
14608,20283
14608,1050769
14608,220019
14608,34620
14608,683318
14608,10397
14608,123577
15478,11368
15478,23709
15478,23534
15478,33485
15478,293641
15478,674917
15478,675198
15478,43711
15478,13690
15478,20922
15478,49904
15478,180328
15478,671777
15478,20290
15478,9246
11368,20922
11368,15628
11368,9464
11368,712502
11368,32563
11368,608105
11368,570913
20922,22431
20922,15662
20922,13299
20922,20921
20922,214111
20922,11438
15245,140363
15245,20456
15245,1467435
15245,20918
15245,26324
15245,19655
15245,9220
15245,377813
15245,1498407
15245,3614370
15245,3930637
15245,18556
15245,21067
15245,9326
15245,9945
15245,9267
15245,220801
15245,12824
15245,1297181
140363,88356
140363,258450
140363,13299
140363,14554
140363,45331
140363,18205
140363,28193
140363,285507
140363,16812
15326,448862
15326,9382
15326,9246
15326,39192
15326,17600
15326,608105
15326,160469
15326,621260
15326,24986
15326,10923
15326,92535
15326,13426
15326,15255
15326,315248
15326,9262
15326,23120
1038401,69370
1038401,64541
1038401,331228
1038401,18266
1038401,1020712
1038401,10059
1038401,18452
87899,18205
87899,330855
87899,43073
49904,14190
49904,9267
49904,13087
49904,22086
49904,14554
49904,1095740
49904,99753
49904,672328
49904,672270
49904,97009
49904,25634
49904,37156
49904,293641
23256,1303715
23256,23256
23256,1229499
23256,54760
23256,13156
23256,1380809
23256,172616
23256,1295948
23256,74164
23256,28193
23256,328467
23256,14470
23256,1485403
23256,22356
23256,31707
23256,43003
23256,1464674
23256,16238
23256,1598099
23256,23372
23256,23527
23256,36900
23256,132695
1229499,166829
166829,1485403
166829,157773
166829,148143
1485403,406978
1485403,226175
406978,321247
321247,54760
69230,232554
69230,45331
69230,123535
69230,72272
69230,9266
69230,17600
69230,269349
69230,92540
69230,17833
69230,703244
69230,15658
69230,46556
69230,3834592
69230,169214
232554,14554
232554,17831
232554,79093
232554,223969
14554,22535
14554,164031
14554,9266
14554,9430
14554,874485
14554,18568
14554,22086
14554,45331
14554,24986
14554,123538
14554,15678
10923,316837
10923,3832237
10923,402743
10923,608105
10923,28193
10923,18328
10923,20772
10923,832429
10923,16344
10923,15010
78290,43073
78290,238945
78290,157214
78290,621260
78290,477660
78290,293641
78290,19267
78290,346303
78290,72752
78290,33485
78290,69370
78290,1020712
78290,17831
78290,48918
78290,191906
78290,4998006
78290,354136
78290,14015
78290,610775
78290,710304
78290,31324
78290,13950
43073,33362
43073,9242
43073,1098355
43073,11365
43073,1258459
43073,2833318
43073,236132
43073,576585
43073,39252
43073,163896
43073,41716
33362,13031
33362,17208
33362,49246
33362,53485
160579,18328
160579,533968
160579,529173
160579,21093
160579,692344
160579,13069
160579,43075
18328,13339
18328,24166
18328,58411
18328,1322302
18328,899893
18328,15658
18328,39473
18328,17208
18328,9789
18328,69570
18328,9510
18328,22071
18328,97009
18328,671227
9382,22071
9382,42124
9382,107054
9382,9247
9382,157773
9382,9460
9382,20571
9382,11352
9382,1255959
9382,313304
9382,672270
9382,672161
9382,694560
9382,681993
22071,10410
22071,13611
22071,69370
22071,18415
22071,19677
29119,30869
29119,137907
29119,344201
29119,340533
29119,16152
29119,10003
29119,10688
29119,77028
29119,58504
29119,43511
29119,120829
29119,215078
29119,212921
29119,190693
29119,29119
29119,81072
29119,171399
29119,83494
29119,91901
29119,132543
29119,683318
29119,40362
29119,47330
29119,98277
29119,199847
45331,13339
45331,269349
45331,19018
45331,22086
45331,258450
45331,9338
45331,1020712
45331,11013
45331,18266
45331,11405
45331,9379
45331,14470
45331,285507
123535,99753
123535,2230188
123535,445783
123535,1496808
34087,19890
34087,2378833
34087,10190
34087,17269
34087,8994
34087,1127377
34087,34087
34087,61718
34087,1042485
34087,1019570
34087,82057
34087,566896
34087,87499
34087,925509
34087,838437
34087,803771
19890,1193160
19890,404762
1193160,1221889
1221889,57155
1221889,19199
1221889,1221889
1221889,86754
1221889,63176
1221889,113558
1221889,128523
1221889,1256350
1221889,1195698
57155,10349
57155,167388
57155,1088373
57155,86479
57155,152880
57155,992976
57155,63176
57155,107225
57155,55485
57155,44705
57155,89485
57155,210176
57155,10191
57155,57155
57155,125844
57155,25818
57155,566246
57155,104802
57155,854358
57155,255599
57155,70280
57155,33770
57155,1136304
57155,1104681
57155,17212
57155,125583
57155,45548
57155,693413
57155,22787
57155,17428
57155,628515
57155,537362
57155,18126
10349,210176
210176,1251533
210176,19199
210176,397046
210176,606261
210176,1058681
210176,122922
1251533,16002
1251533,18206
1251533,113558
16002,10594
19199,608065
19199,591477
86754,24385
10259,51844
10259,1306059
10259,502435
10259,12505
10259,727698
10259,18082
10259,26106
10259,9310
10259,264273
10259,716493
10259,9197
10259,26714
10259,53895
10259,30790
10259,12802
10259,10190
10259,83594
10259,284585
10259,56116
10259,9073
10259,9652
10259,13629
10259,9894
10259,8982
73407,672473
73407,9247
73407,15653
73407,39473
73407,574943
73407,15357
73407,262500
73407,35128
73407,37537
73407,43638
73407,11013
73407,758248
73407,15678
73407,12344
155957,12344
155957,20063
9073,9064
9073,9116
9073,21525
9073,125669
9073,14710
9073,27439
9073,31081
9073,52721
9073,23993
9073,15023
9073,21169
9073,123999
9073,9114
9073,80525
9073,1309926
9073,681317
9073,77346
9073,407241
9073,68729
9073,50182
9073,18398
668208,1163401
1163401,1161876
1161876,17269
17269,18574
17269,9210
18574,8977
8977,608105
8977,91521
8977,617203
8977,74164
8977,1369343
8977,9884
8977,10190
8977,148240
8977,9213
8977,25207
8977,21971
8977,141506
8977,410634
8977,478100
8977,291021
8977,284320
8977,12565
8977,296819
8977,261214
8977,773692
8977,494630
8977,59856
8977,8977
8977,37066
8977,902526
608105,1500177
608105,712502
608105,145040
608105,492127
608105,14045
608105,694560
608105,672328
608105,24783
608105,128073
608105,537073
1500177,1493267
1493267,1441698
1441698,1436795
1436795,1431949
1431949,1423291
1423291,1422219
1422219,1414779
1414779,1404455
1404455,1399686
1399686,1395104
1395104,1389275
1389275,14637
14637,59838
14637,840658
14637,1246707
14637,2050196
14637,1014659
14637,40771
14637,30232
59838,59838
59838,1474903
59838,31248
59838,2781866
59838,1180057
59838,10184
59838,560904
59838,2551584
59838,239548
59838,16865
59838,54678
59838,1029443
59838,603697
59838,1427388
59838,3144895
59838,1440563
59838,757537
59838,443337
59838,428337
59838,506245
59838,138610
59838,844404
59838,2114858
59838,54751
59838,335197
59838,122298
59838,725738
59838,2370409
59838,2390585
59838,89703
59838,285544
59838,32821
59838,617959
59838,1440545
1474903,335197
335197,31248
335197,2781866
31248,1295851
31248,49427
31248,942872
31248,37272
31248,1099691
31248,774128
31248,560904
31248,772470
31248,1469764
31248,847368
2781866,1327534
1327534,10184
1327534,1180057
10184,273676
10184,1557810
10184,443645
10184,55807
10184,120101
10184,331350
10184,1440545
10184,1006752
273676,646751
273676,75113
273676,500861
646751,50789
50789,1497075
1497075,39145
39145,724392
39145,1977852
39145,326943
724392,1446435
1446435,1021052
1021052,1246274
1246274,818731
818731,887911
887911,197128
197128,1440594
197128,977800
197128,1029443
197128,3526640
197128,1337694
197128,79809
197128,38344
197128,1489266
197128,1539192
197128,148065
1440594,1431584
1440594,617959
1440594,570770
1431584,1180057
1431584,59387
1431584,83573
1431584,1440545
1180057,692768
1295851,1275325
1295851,337470
1295851,1327140
1275325,40773
40773,592064
40773,110058
40773,966233
40773,383410
592064,464958
592064,1240603
592064,212631
464958,1557810
560904,49427
560904,1014659
560904,384505
560904,1337694
49427,1116109
49427,167337
49427,1334046
1116109,72429
72429,31383
31383,77383
31383,821863
31383,36299
31383,539497
31383,1904995
77383,1242636
77383,68729
77383,26221
1242636,1933179
1933179,995023
995023,1456819
1456819,506175
506175,528776
528776,287578
287578,1456950
1456950,144218
144218,533148
533148,627768
627768,369810
369810,1039662
1039662,635249
635249,206409
206409,206432
206432,573595
573595,512632
512632,451074
451074,4378439
4378439,39658
39658,187323
187323,840658
1246707,475548
475548,339909
475548,38402
475548,942872
339909,741379
741379,1077605
1077605,74893
74893,224306
224306,43088
43088,617959
43088,347729
43088,999393
617959,120190
617959,120101
617959,303752
570770,2551584
239548,46069
239548,83566
239548,1440563
239548,583171
239548,1087349
239548,1238141
239548,1006752
46069,2110209
46069,2316843
46069,506245
2110209,405577
405577,444150
444150,59387
83573,16865
83573,347863
83573,1240603
16865,1356613
16865,38402
54678,122271
54678,309723
54678,232721
122271,495815
495815,275509
275509,3295610
275509,319784
275509,776607
3295610,360650
360650,75113
360650,492704
360650,728326
75113,148331
75113,62419
500861,981927
981927,469624
469624,82411
82411,47717
82411,66083
82411,59830
47717,123828
47717,117265
47717,1470207
123828,411694
411694,53138
411694,390683
411694,27613
53138,167337
53138,355131
53138,105370
53138,310102
53138,817547
167337,162226
167337,97022
167337,817547
167337,146989
942872,580108
942872,2072156
580108,977800
580108,641933
580108,2229086
977800,568923
977800,1099691
603697,275512
603697,44140
275512,689107
689107,829715
689107,314976
689107,79809
829715,17888
829715,1262227
829715,618172
17888,740739
17888,547152
17888,580147
17888,1073262
17888,363837
17888,1394383
17888,1156418
17888,30232
17888,146933
740739,1100111
740739,424775
740739,962307
740739,424790
740739,363837
1100111,224629
1100111,979811
1100111,224845
224629,425059
224629,17159
224629,936539
224629,424878
224629,962307
425059,425042
425059,425051
425059,425071
425059,424860
425042,425045
425042,424860
425042,425104
425042,425071
425042,425078
425045,425104
425045,425078
425045,425051
425045,176724
425104,425071
425104,425078
425071,425051
425071,424878
425051,425078
425078,424787
424787,424775
424787,852013
424787,424790
424775,424790
424775,363837
424775,979811
424790,363837
424790,264049
424790,274940
363837,979811
979811,326940
979811,424878
979811,91797
326940,17159
326940,939812
326940,422556
326940,333658
17159,10746
17159,91797
17159,404686
17159,238615
10746,10747
10746,1528404
10746,1273116
10746,1155932
10746,51943
10746,316033
10746,175415
10746,994202
10747,879652
10747,36841
10747,364052
10747,439848
10747,1155932
10747,96564
879652,10130
10130,987709
10130,1358318
10130,10130
10130,50744
10130,382950
10130,27119
10130,389709
10130,213791
987709,42739
42739,11576
11576,2332941
11576,50511
11576,2431681
2332941,1105759
1105759,2360962
2360962,1105749
1105749,1105821
1105821,1132210
1132210,1167866
1167866,972364
972364,1167887
1167887,1167868
1167868,1167873
1167873,1167877
1167877,1167883
1167883,1131271
1131271,1131095
1131095,2678608
2678608,1247208
1247208,3415094
3415094,1105801
1105801,1131067
1131067,1131752
1131752,1105735
1105735,4017310
4017310,1167885
1167885,50511
50511,9114
50511,95506
2431681,1109903
1109903,646284
646284,388620
388620,407365
407365,617252
617252,324919
324919,407355
407355,1172391
1172391,231027
1172391,40678
1172391,407349
231027,1484038
231027,253784
231027,413695
1484038,976973
976973,48319
48319,68641
68641,67272
67272,1382269
67272,205395
1382269,253784
253784,19864
253784,51720
413695,411066
413695,10385
413695,574150
411066,85070
85070,382187
85070,107265
85070,1519787
85070,9416
85070,23993
382187,62712
62712,66846
66846,1230373
1230373,885320
885320,19763
19763,688194
19763,18368
19763,33191
19763,40897
19763,26709
19763,45548
19763,12808
19763,584194
19763,9060
19763,15114
19763,23427
688194,687349
687349,487203
487203,64191
64191,983525
983525,1439815
1439815,167088
167088,99613
99613,117194
117194,50582
50582,957173
50582,17696
50582,92737
957173,1096277
1096277,21262
21262,33193
33193,62843
62843,59845
59845,161494
59845,39209
59845,255218
161494,59921
59921,28527
28527,255529
255529,49559
49559,49560
49560,39209
255218,83396
83396,57653
57653,346143
346143,1020991
1020991,129065
129065,132688
132688,150450
150450,1020932
1020932,51720
51720,1478193
51720,306649
51720,107265
51720,812859
51720,21335
51720,39513
1478193,382311
382311,82761
82761,1849714
82761,994202
1849714,21169
21169,191617
21169,111917
191617,107265
107265,107270
107270,457493
457493,220923
220923,258897
258897,475822
475822,9063
9063,9114
9063,61782
9063,206155
9063,54231
9063,40678
9114,10195
9114,50647
9114,54259
9114,23813
9114,120851
10195,9064
10195,10194
10195,10191
9064,25631
